,name,manufacturer,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
19,Cracklin' Oat Bran,Kellogs,Cold,110,3,3,0.14,4.0,10.0,7,0.16,25,3,1.0,0.5,40.448772
20,Cream of Wheat (Quick),Nabisco,Hot,100,3,0,0.08,1.0,21.0,0,0.0,0,2,1.0,1.0,64.533816
21,Crispix,Kellogs,Cold,110,2,0,0.22,1.0,21.0,3,0.03,25,3,1.0,1.0,46.895644
22,Crispy Wheat & Raisins,General Mills,Cold,100,2,1,0.14,2.0,11.0,10,0.12,25,3,1.0,0.75,36.176196000000004
23,Double Chex,Ralston Purina,Cold,100,2,0,0.19,1.0,18.0,5,0.08,25,3,1.0,0.75,44.330856
24,Froot Loops,Kellogs,Cold,110,2,1,0.125,1.0,11.0,13,0.03,25,2,1.0,1.0,32.207582
25,Frosted Flakes,Kellogs,Cold,110,1,0,0.2,1.0,14.0,11,0.025,25,1,1.0,0.75,31.435972999999997
26,Frosted Mini-Wheats,Kellogs,Cold,100,3,0,0.0,3.0,14.0,7,0.1,25,2,1.0,0.8,58.345141000000005
27,Fruit & Fibre Dates; Walnuts; and Oats,Post,Cold,120,3,2,0.16,5.0,12.0,10,0.2,25,3,1.25,0.67,40.917047
28,Fruitful Bran,Kellogs,Cold,120,3,0,0.24,5.0,14.0,12,0.19,25,3,1.33,0.67,41.015492
29,Fruity Pebbles,Post,Cold,110,1,1,0.135,0.0,13.0,12,0.025,25,2,1.0,0.75,28.025765000000003
30,Golden Crisp,Post,Cold,100,2,0,0.045,0.0,11.0,15,0.04,25,1,1.0,0.88,35.252444
31,Golden Grahams,General Mills,Cold,110,1,1,0.28,0.0,15.0,9,0.045,25,2,1.0,0.75,23.804043
32,Grape Nuts Flakes,Post,Cold,100,3,1,0.14,3.0,15.0,5,0.085,25,3,1.0,0.88,52.076896999999995
33,Grape-Nuts,Post,Cold,110,3,0,0.17,3.0,17.0,3,0.09,25,3,1.0,0.25,53.37100699999999
34,Great Grains Pecan,Post,Cold,120,3,3,0.075,3.0,13.0,4,0.1,25,3,1.0,0.33,45.811716
35,Honey Graham Ohs,Quaker,Cold,120,1,2,0.22,1.0,12.0,11,0.045,25,2,1.0,1.0,21.871292
36,Honey Nut Cheerios,General Mills,Cold,110,3,1,0.25,1.5,11.5,10,0.09,25,1,1.0,0.75,31.072217
37,Honey-comb,Post,Cold,110,1,0,0.18,0.0,14.0,11,0.035,25,1,1.0,1.33,28.742414
38,Just Right Crunchy  Nuggets,Kellogs,Cold,110,2,1,0.17,1.0,17.0,6,0.06,100,3,1.0,1.0,36.523683
39,Just Right Fruit & Nut,Kellogs,Cold,140,3,1,0.17,2.0,20.0,9,0.095,100,3,1.3,0.75,36.471512
40,Kix,General Mills,Cold,110,2,1,0.26,0.0,21.0,3,0.04,25,2,1.0,1.5,39.241114
41,Life,Quaker,Cold,100,4,2,0.15,2.0,12.0,6,0.095,25,2,1.0,0.67,45.328074
42,Lucky Charms,General Mills,Cold,110,2,1,0.18,0.0,12.0,12,0.055,25,2,1.0,1.0,26.734515000000002
43,Maypo,American Home Food Products,Hot,100,4,1,0.0,0.0,16.0,3,0.095,25,2,1.0,1.0,54.850917
44,Muesli Raisins; Dates; & Almonds,Ralston Purina,Cold,150,4,3,0.095,3.0,16.0,11,0.17,25,3,1.0,1.0,37.136863
45,Muesli Raisins; Peaches; & Pecans,Ralston Purina,Cold,150,4,3,0.15,3.0,16.0,11,0.17,25,3,1.0,1.0,34.139765000000004
46,Mueslix Crispy Blend,Kellogs,Cold,160,3,2,0.15,3.0,17.0,13,0.16,25,3,1.5,0.67,30.313351
47,Multi-Grain Cheerios,General Mills,Cold,100,2,1,0.22,2.0,15.0,6,0.09,25,1,1.0,1.0,40.105965000000005
48,Nut&Honey Crunch,Kellogs,Cold,120,2,1,0.19,0.0,15.0,9,0.04,25,2,1.0,0.67,29.924284999999998
49,Nutri-Grain Almond-Raisin,Kellogs,Cold,140,3,2,0.22,3.0,21.0,7,0.13,25,3,1.33,0.67,40.69232
50,Nutri-grain Wheat,Kellogs,Cold,90,3,0,0.17,3.0,18.0,2,0.09,25,3,1.0,1.0,59.642837
51,Oatmeal Raisin Crisp,General Mills,Cold,130,3,2,0.17,1.5,13.5,10,0.12,25,3,1.25,0.5,30.450843
52,Post Nat. Raisin Bran,Post,Cold,120,3,1,0.2,6.0,11.0,14,0.26,25,3,1.33,0.67,37.840594
53,Product 19,Kellogs,Cold,100,3,0,0.32,1.0,20.0,3,0.045,100,3,1.0,1.0,41.50354
54,Puffed Rice,Quaker,Cold,50,1,0,0.0,0.0,13.0,0,0.015,0,3,0.5,1.0,60.756112
55,Puffed Wheat,Quaker,Cold,50,2,0,0.0,1.0,10.0,0,0.05,0,3,0.5,1.0,63.005644999999994
56,Quaker Oat Squares,Quaker,Cold,100,4,1,0.135,2.0,14.0,6,0.11,25,3,1.0,0.5,49.511874
57,Quaker Oatmeal,Quaker,Hot,100,5,2,0.0,2.7,0.0,0,0.11,0,1,1.0,0.67,50.828392
58,Raisin Bran,Kellogs,Cold,120,3,1,0.21,5.0,14.0,12,0.24,25,2,1.33,0.75,39.259197
59,Raisin Nut Bran,General Mills,Cold,100,3,2,0.14,2.5,10.5,8,0.14,25,3,1.0,0.5,39.7034
60,Raisin Squares,Kellogs,Cold,90,2,0,0.0,2.0,15.0,6,0.11,25,3,1.0,0.5,55.333142
61,Rice Chex,Ralston Purina,Cold,110,1,0,0.24,0.0,23.0,2,0.03,25,1,1.0,1.13,41.998933
62,Rice Krispies,Kellogs,Cold,110,2,0,0.29,0.0,22.0,3,0.035,25,1,1.0,1.0,40.560159000000006
63,Shredded Wheat,Nabisco,Cold,80,2,0,0.0,3.0,16.0,0,0.095,0,1,0.83,1.0,68.235885
64,Shredded Wheat 'n'Bran,Nabisco,Cold,90,3,0,0.0,4.0,19.0,0,0.14,0,1,1.0,0.67,74.472949
65,Shredded Wheat spoon size,Nabisco,Cold,90,3,0,0.0,3.0,20.0,0,0.12,0,1,1.0,0.67,72.801787
66,Smacks,Kellogs,Cold,110,2,1,0.07,1.0,9.0,15,0.04,25,2,1.0,0.75,31.230054
67,Special K,Kellogs,Cold,110,6,0,0.23,1.0,16.0,3,0.055,25,1,1.0,1.0,53.131324
68,Strawberry Fruit Wheats,Nabisco,Cold,90,2,0,0.015,3.0,15.0,5,0.09,25,2,1.0,1.0,59.36399300000001
69,Total Corn Flakes,General Mills,Cold,110,2,1,0.2,0.0,21.0,3,0.035,100,3,1.0,1.0,38.839746000000005
70,Total Raisin Bran,General Mills,Cold,140,3,1,0.19,4.0,15.0,14,0.23,100,3,1.5,1.0,28.592785
71,Total Whole Grain,General Mills,Cold,100,3,1,0.2,3.0,16.0,3,0.11,100,3,1.0,1.0,46.658844
72,Triples,General Mills,Cold,110,2,1,0.25,0.0,21.0,3,0.06,25,3,1.0,0.75,39.106173999999996
73,Trix,General Mills,Cold,110,1,1,0.14,0.0,13.0,12,0.025,25,2,1.0,1.0,27.753301
74,Wheat Chex,Ralston Purina,Cold,100,3,1,0.23,3.0,17.0,3,0.115,25,1,1.0,0.67,49.787445
75,Wheaties,General Mills,Cold,100,3,1,0.2,3.0,17.0,3,0.11,25,1,1.0,1.0,51.592193
76,Wheaties Honey Gold,General Mills,Cold,110,2,1,0.2,1.0,16.0,8,0.06,25,1,1.0,0.75,36.187559
